"id","user_id","type","datetime","stock_ticker","quantity","price","status"
67,17,"sell","Sat, 01 Apr 2023 05:55:07 GMT","TSLA",348,"86.09","complete"
68,10,"sell","Sat, 01 Apr 2023 05:55:07 GMT","AMD",127,"350.99","complete"
69,8,"sell","Sat, 01 Apr 2023 05:55:07 GMT","SQ",40,"6.33","complete"
70,13,"sell","Sat, 01 Apr 2023 05:55:07 GMT","SQ",82,"494.56","complete"
71,13,"sell","Sat, 01 Apr 2023 05:55:07 GMT","SHIB-USD",376,"353.56","complete"
72,8,"buy","Sat, 01 Apr 2023 05:55:07 GMT","MSFT",305,"238.67","complete"
73,7,"buy","Sat, 01 Apr 2023 05:55:07 GMT","NVDA",424,"422.86","complete"
74,2,"buy","Sat, 01 Apr 2023 05:55:07 GMT","SQ",375,"32.09","complete"
75,4,"sell","Sat, 01 Apr 2023 05:55:07 GMT","PINS",212,"271.41","complete"
76,6,"buy","Sat, 01 Apr 2023 05:55:07 GMT","BTC-USD",450,"176.46","complete"
77,9,"sell","Sat, 01 Apr 2023 05:55:07 GMT","BAC",224,"359.93","complete"
78,13,"sell","Sat, 01 Apr 2023 05:55:07 GMT","WISH",281,"4.83","complete"
79,8,"sell","Sat, 01 Apr 2023 05:55:07 GMT","ABT",38,"94.70","complete"
80,13,"buy","Sat, 01 Apr 2023 05:55:07 GMT","ABT",77,"310.22","complete"
81,17,"buy","Sat, 01 Apr 2023 05:55:07 GMT","BTC-USD",158,"326.77","complete"
82,16,"buy","Sat, 01 Apr 2023 05:55:07 GMT","SQ",166,"249.71","complete"
83,10,"buy","Sat, 01 Apr 2023 05:55:07 GMT","AMD",163,"380.81","complete"
84,11,"buy","Sat, 01 Apr 2023 05:55:07 GMT","AAPL",408,"167.82","complete"
85,1,"sell","Sat, 01 Apr 2023 05:55:07 GMT","WISH",465,"362.24","complete"
86,13,"sell","Sat, 01 Apr 2023 05:55:07 GMT","AAPL",481,"316.71","complete"
87,13,"sell","Sat, 01 Apr 2023 05:55:07 GMT","AMZN",66,"62.97","complete"
88,10,"sell","Sat, 01 Apr 2023 05:55:07 GMT","NVO",60,"314.61","complete"
89,8,"buy","Sat, 01 Apr 2023 05:55:07 GMT","AAPL",376,"103.88","complete"
90,17,"sell","Sat, 01 Apr 2023 05:55:07 GMT","NVO",433,"452.22","complete"
91,14,"sell","Sat, 01 Apr 2023 05:55:07 GMT","GOOG",385,"449.01","complete"
92,15,"sell","Sat, 01 Apr 2023 05:55:07 GMT","TSLA",343,"276.83","complete"
93,3,"buy","Sat, 01 Apr 2023 05:55:07 GMT","AMZN",283,"65.27","complete"
94,5,"buy","Sat, 01 Apr 2023 05:55:07 GMT","MSFT",362,"230.69","complete"
95,18,"sell","Sat, 01 Apr 2023 05:55:07 GMT","META",271,"357.75","complete"
96,12,"sell","Sat, 01 Apr 2023 05:55:07 GMT","SQ",444,"224.73","complete"
97,9,"buy","Sat, 01 Apr 2023 05:55:07 GMT","TSLA",138,"48.24","complete"
98,16,"buy","Sat, 01 Apr 2023 05:55:07 GMT","SHIB-USD",78,"366.54","complete"
99,16,"sell","Sat, 01 Apr 2023 05:55:07 GMT","SQ",303,"451.04","complete"
100,15,"buy","Sat, 01 Apr 2023 05:55:07 GMT","ABT",121,"455.27","complete"
